h_geoid,w_geoid,count
51059415100,51059415100,21
51059415100,51059415200,14
51059415100,51059415300,4
51059415100,51059415401,4
51059415100,51059415500,6
51059415100,51059415600,1
51059415100,51059415700,2
51059415100,51059415800,1
51059415100,51059415900,9
51059415100,51059416000,4
51059415100,51059416100,2
51059415100,51059416200,2
51059415100,51059416300,1
51059415100,51059420100,1
51059415100,51059420400,3
51059415100,51059420503,2
51059415100,51059420600,2
51059415100,51059421001,2
51059415100,51059421002,8
51059415100,51059421101,1
51059415100,51059421103,2
51059415100,51059421400,8
51059415100,51059421500,10
51059415100,51059422000,5
51059415100,51059422302,9
51059415100,51059422402,1
51059415100,51059422403,1
51059415100,51059430101,1
51059415100,51059430202,3
51059415100,51059430400,7
51059415100,51059430600,4
51059415100,51059430700,1
51059415100,51059430801,2
51059415100,51059430802,3
51059415100,51059430902,1
51059415100,51059431001,1
51059415100,51059431600,3
51059415100,51059432201,3
51059415100,51059432701,1
51059415100,51059432702,1
51059415100,51059432800,6
51059415100,51059440201,15
51059415100,51059440202,13
51059415100,51059440502,5
51059415100,51059440600,2
51059415100,51059450100,1
51059415100,51059450601,6
51059415100,51059450602,2
51059415100,51059450701,2
51059415100,51059450702,3
51059415100,51059451300,2
51059415100,51059451502,4
51059415100,51059451601,1
51059415100,51059451900,4
51059415100,51059452000,1
51059415100,51059452101,1
51059415100,51059452102,1
51059415100,51059452200,1
51059415100,51059452501,67
51059415100,51059452502,2
51059415100,51059452600,5
51059415100,51059452801,1
51059415100,51059460400,3
51059415100,51059460501,20
51059415100,51059460502,2
51059415100,51059461000,1
51059415100,51059461100,1
51059415100,51059461202,3
51059415100,51059461500,1
51059415100,51059461602,2
51059415100,51059461700,1
51059415100,51059461802,1
51059415100,51059461901,1
51059415100,51059470400,2
51059415100,51059470500,2
51059415100,51059470600,1
51059415100,51059470700,4
51059415100,51059471100,1
51059415100,51059471201,4
51059415100,51059471202,3
51059415100,51059471304,1
51059415100,51059471402,1
51059415100,51059480202,24
51059415100,51059480203,1
51059415100,51059480502,1
51059415100,51059480802,1
51059415100,51059480901,1
51059415100,51059480902,4
51059415100,51059480903,4
51059415100,51059481000,2
51059415100,51059481106,5
51059415100,51059481202,6
51059415100,51059481702,5
51059415100,51059481900,2
51059415100,51059482202,1
51059415100,51059482203,10
51059415100,51059482400,4
51059415100,51059482501,15
51059415100,51059482601,2
51059415100,51059490101,1
51059415100,51059490103,6
51059415100,51059491202,1
51059415100,51059491302,2
51059415100,51059491401,1
51059415100,51059491601,2
51059415100,51059491701,1
51059415100,51059491702,3
51059415100,51059491703,23
51059415100,51059491704,4
51059415100,51059491801,1
51059415100,51059491802,2
51059415100,51059492100,1
51059415100,51059492203,1
51059415100,51600300100,3
51059415100,51600300300,2
51059415100,51600300400,1
51059415100,51600300500,1
51059415200,51059415200,29
51059415200,51059415300,3
51059415200,51059415500,5
51059415200,51059415600,4
51059415200,51059415700,1
51059415200,51059415800,4
51059415200,51059415900,4
51059415200,51059416100,4
51059415200,51059416200,5
51059415200,51059416300,1
51059415200,51059420201,1
51059415200,51059420300,3
51059415200,51059420400,1
51059415200,51059420503,2
51059415200,51059420700,1
51059415200,51059421001,5
51059415200,51059421002,2
51059415200,51059421101,3
51059415200,51059421103,1
51059415200,51059421400,2
51059415200,51059421500,3
51059415200,51059421900,4
51059415200,51059422000,6
51059415200,51059422102,1
51059415200,51059422302,2
51059415200,51059422402,5
51059415200,51059430400,3
51059415200,51059430600,3
51059415200,51059430801,1
51059415200,51059431600,1
51059415200,51059432000,1
51059415200,51059432300,1
51059415200,51059432500,2
51059415200,51059432702,1
51059415200,51059432800,10
51059415200,51059440201,14
51059415200,51059440202,9
51059415200,51059440300,1
51059415200,51059440502,13
51059415200,51059450100,3
51059415200,51059450300,1
51059415200,51059450400,1
51059415200,51059450701,12
51059415200,51059450702,1
51059415200,51059451200,2
51059415200,51059451400,2
51059415200,51059451502,3
51059415200,51059451900,3
51059415200,51059452102,4
51059415200,51059452200,3
51059415200,51059452501,98
51059415200,51059452600,9
51059415200,51059452801,1
51059415200,51059460100,3
51059415200,51059460400,7
51059415200,51059460501,12
51059415200,51059460502,5
51059415200,51059460800,1
51059415200,51059461000,1
51059415200,51059461201,1
51059415200,51059461202,3
51059415200,51059461602,3
51059415200,51059461802,1
51059415200,51059470400,2
51059415200,51059470500,1
51059415200,51059470900,2
51059415200,51059471202,10
51059415200,51059471301,2
51059415200,51059480202,31
51059415200,51059480203,4
51059415200,51059480300,2
51059415200,51059480902,4
51059415200,51059480903,2
51059415200,51059481000,1
51059415200,51059481101,2
51059415200,51059481202,2
51059415200,51059481702,12
51059415200,51059481900,4
51059415200,51059482201,1
51059415200,51059482202,3
51059415200,51059482203,8
51059415200,51059482301,2
51059415200,51059482501,9
51059415200,51059490101,1
51059415200,51059490103,6
51059415200,51059490501,1
51059415200,51059491202,1
51059415200,51059491302,1
51059415200,51059491405,2
51059415200,51059491501,1
51059415200,51059491601,1
51059415200,51059491701,2
51059415200,51059491702,7
51059415200,51059491703,22
51059415200,51059491704,1
51059415200,51059980100,1
51059415200,51600300100,5
51059415200,51600300200,11
51059415200,51600300300,2
51059415200,51600300400,4
51059415200,51600300500,2
51059415300,51059415100,8
51059415300,51059415200,17
51059415300,51059415300,25
51059415300,51059415401,7
51059415300,51059415402,6
51059415300,51059415500,20
51059415300,51059415600,1
51059415300,51059415800,6
51059415300,51059415900,7
51059415300,51059416000,6
51059415300,51059416100,6
51059415300,51059416200,2
51059415300,51059416300,1
51059415300,51059420100,3
51059415300,51059420203,6
51059415300,51059420400,13
51059415300,51059420501,8
51059415300,51059420502,2
51059415300,51059420503,1
51059415300,51059420600,1
51059415300,51059420700,3
51059415300,51059420800,1
51059415300,51059421001,5
51059415300,51059421002,9
51059415300,51059421101,2
51059415300,51059421103,1
51059415300,51059421400,9
51059415300,51059421500,21
51059415300,51059421702,2
51059415300,51059421800,1
51059415300,51059421900,2
51059415300,51059422000,2
51059415300,51059422101,7
51059415300,51059422102,4
51059415300,51059422202,2
51059415300,51059422301,2
51059415300,51059422302,12
51059415300,51059430202,1
51059415300,51059430600,6
51059415300,51059430700,5
51059415300,51059430801,1
